,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,fname,nAgets,blah,fit1,fit2,ll,short_fname,lab,cluster
80024,0.02982095998553071,0.5651918579468116,-11.407661556258704,-0.9379509743613103,0.03483170874184893,-2.4233779773024686,-0.2600446427098011,19.824376911358282,13.325866121088453,2.002021746009146,118.93908915410006,1.7504780759314937,2.346791972499909,123.59471635688293,0.04977224645746642,0.6518962967439563,-1.468319822047944,-3.0280594521505364,0.10681732492830351,1.5660357325363559,-1.376976677959062,1.3610069747379367,0.8688054628966746,-17.648095090424643,samples_run200_AGETs.13_randomnumber.20000_it.96_walkers.1_technicalreplicate_restart1.txt_final_timepoint_samp.txt24,200,24,44,0,-148911.3808086876,samples_run200_AGETs.13_randomnumber.20000_it.96_walkers.1_technicalreplicate_restart1.txt,10.0,5.0
80056,2.140584718908186,-1.4133939777052618,2.11502653276375,-3.023171498575818,0.5254719908220091,0.2667633090863939,-2.439167163840431,1.2577611530378228,1.1567239321872407,1.587114407893857,0.005309176068138299,2.432498098647126,1.0556011452670377,0.3732158561055172,0.6732868984906583,0.6581181951778428,0.5003267231430788,-3.754776256209311,0.26193126948580764,-2.2912057203141787,0.7753331448638876,-1.703229115120107,1.2751414031059936,-1.7166872963019717,samples_run200_AGETs.13_randomnumber.20000_it.96_walkers.1_technicalreplicate_restart1.txt_final_timepoint_samp.txt56,200,56,30,13,-146379.0406640228,samples_run200_AGETs.13_randomnumber.20000_it.96_walkers.1_technicalreplicate_restart1.txt,10.0,5.0
84010,0.9246201489604827,-0.009735313964886236,-1.783869739533566,0.012950918968170601,0.030821509082806384,-1.4138022641151606,-7.543679657085594,3.139552553506982,0.03517071078607012,97.09224759593263,23.719518907472672,3.489822644508828,47.395225035315875,21.712032960889374,1.328565489409152,1.0193737263687563,-1.3515990718589437,-0.12328154532699694,0.0021661906951733253,1.1675575912587413,-0.23568352764792494,-0.9152116428629927,-0.33731658990557256,0.1319184079632741,samples_run200_AGETs.13_randomnumber.20000_it.96_walkers.3_technicalreplicate_restart1.txt_final_timepoint_samp.txt10,200,10,34,0,-116086.19731114866,samples_run200_AGETs.13_randomnumber.20000_it.96_walkers.3_technicalreplicate_restart1.txt,4.0,3.0
84011,0.9548562698264481,-0.007366501764125315,-1.7151607162250737,0.019354070119063024,0.030718305847514976,-1.379564102277564,-8.14960192126344,3.5163361033534395,0.030413315674595376,100.40883261247946,25.745056112987964,3.2144993461433593,50.356199461211624,23.476083575287976,1.205118991848432,0.9842682578417525,-1.4821620056200573,-0.12312033690004116,0.0019705844669829237,1.1679418644973916,-0.2816803167809589,-0.9210824355777274,-0.33401093676656696,0.1468152614604601,samples_run200_AGETs.13_randomnumber.20000_it.96_walkers.3_technicalreplicate_restart1.txt_final_timepoint_samp.txt11,200,11,41,0,-116220.00253804984,samples_run200_AGETs.13_randomnumber.20000_it.96_walkers.3_technicalreplicate_restart1.txt,4.0,3.0
84013,0.9097016552411041,-0.019314854300427713,-1.9016081800270799,0.04520022287955616,0.00493331768826172,-1.3744371731922962,-7.3265440980659795,2.9730604436006987,0.03601093781109138,93.08675631646247,23.344227369203665,3.657893754728659,45.05210394149309,21.24791221394724,1.4401426137539162,1.0138367229860201,-1.2409722439562874,-0.12394911198940647,0.0011759751485420987,1.149661519350507,-0.2394796388983991,-0.8994698602325573,-0.35414723948965077,0.09226246026922147,samples_run200_AGETs.13_randomnumber.20000_it.96_walkers.3_technicalreplicate_restart1.txt_final_timepoint_samp.txt13,200,13,35,0,-113319.79800010868,samples_run200_AGETs.13_randomnumber.20000_it.96_walkers.3_technicalreplicate_restart1.txt,4.0,3.0
84016,0.921778992281454,-0.011682632363780563,-1.8691819551022895,-0.0018605030998756003,0.00926638696210341,-1.456806900635644,-7.2608292818268,2.9038458786537027,0.060163733085279086,94.38238915088806,24.27277346984201,3.6931093482558697,46.33155311243453,22.515673409357547,1.4009293506386213,1.026019487151583,-1.2024571265929056,-0.1308128726336405,0.0014410878753240417,1.1954754409316601,-0.18983931289497438,-0.9027243506374254,-0.3051863099122513,0.04303028497665974,samples_run200_AGETs.13_randomnumber.20000_it.96_walkers.3_technicalreplicate_restart1.txt_final_timepoint_samp.txt16,200,16,34,0,-113414.51542042512,samples_run200_AGETs.13_randomnumber.20000_it.96_walkers.3_technicalreplicate_restart1.txt,4.0,3.0
84017,0.936740828171158,-0.010701728238260735,-1.7845046822024362,-0.02492964015988493,0.01535423788422779,-1.436272539222935,-8.010793200083965,3.3840232120418916,0.014670591810060777,94.26444333013872,24.32181333597719,3.2046759121165618,46.88252928132422,22.306161233404346,1.172230283495753,1.0583755697827304,-1.4630294879396217,-0.13680099262797246,0.0006137943466438494,1.1858831484254018,-0.21418538352280891,-0.9054708564891039,-0.32999694418582143,0.13180333834257135,samples_run200_AGETs.13_randomnumber.20000_it.96_walkers.3_technicalreplicate_restart1.txt_final_timepoint_samp.txt17,200,17,52,0,-115826.9998901187,samples_run200_AGETs.13_randomnumber.20000_it.96_walkers.3_technicalreplicate_restart1.txt,4.0,3.0
84018,0.9286633144815313,-0.018438573262873795,-1.847239444410293,-0.007161026167914785,0.0036118525421510875,-1.4015844425482342,-7.427871093288907,2.826433531832116,0.04340406086531801,101.64002953805327,28.00554402865136,3.6022791812560118,49.897267635204535,25.26324838668739,1.4778341856686508,1.012566162284222,-1.2326772424796038,-0.12054880077474771,0.004263295639755207,1.1324868710893627,-0.14271019310011318,-0.9075181071755359,-0.3222208931010264,0.17106499213398052,samples_run200_AGETs.13_randomnumber.20000_it.96_walkers.3_technicalreplicate_restart1.txt_final_timepoint_samp.txt18,200,18,35,0,-118225.517788101,samples_run200_AGETs.13_randomnumber.20000_it.96_walkers.3_technicalreplicate_restart1.txt,4.0,3.0
84021,0.9175242283373936,-0.010012739996422562,-1.8573395382805207,0.01175022431199103,0.012771398256694965,-1.3611643028144893,-7.545816052961753,3.1305519968754276,0.0213588688456285,91.63001601701453,24.555518775496747,3.584176631264936,44.90844373966453,22.372297967047896,1.3408848467325665,0.9823849322912728,-1.316195382926825,-0.13208838584718738,0.0004956147610412192,1.081984268854658,-0.2227041543401896,-0.902379199853833,-0.30213143130075143,0.0589037439208101,samples_run200_AGETs.13_randomnumber.20000_it.96_walkers.3_technicalreplicate_restart1.txt_final_timepoint_samp.txt21,200,21,35,0,-113475.58707163073,samples_run200_AGETs.13_randomnumber.20000_it.96_walkers.3_technicalreplicate_restart1.txt,4.0,3.0
84022,0.9424259829325001,-0.008473946394494607,-1.7576449969592065,-0.008463466162138103,0.0014748384737513429,-1.4120239019842993,-7.9078272968913925,3.1881345859820036,0.009402274536413666,110.71367048730494,28.168726672410514,3.255576679702162,55.169847105995046,25.810458364910165,1.2799278809179306,1.0246117197146674,-1.3494545091039707,-0.12171545190525382,0.0019287103312364533,1.189771405993838,-0.171729826362437,-0.9129036570313697,-0.31388085683984523,0.20169462566279414,samples_run200_AGETs.13_randomnumber.20000_it.96_walkers.3_technicalreplicate_restart1.txt_final_timepoint_samp.txt22,200,22,47,0,-117674.8739697143,samples_run200_AGETs.13_randomnumber.20000_it.96_walkers.3_technicalreplicate_restart1.txt,4.0,3.0
